"Project Gutenberg","Total Books:",609,,,,,,
"CD Project","Total Files:",692,,,,,,
"August 2003",,,,,,,,
,,,,,,,,
"Title","Subtitle","Author-FN","Author-LN","Text","HTML","CatMonth","CatYear","Language"
"1001 Nights [Arabian Nights]","Vol 01","Richard  ","Burton","11001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 02","Richard  ","Burton","21001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 03","Richard  ","Burton","31001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 04","Richard  ","Burton","41001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 05","Richard  ","Burton","51001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 06","Richard  ","Burton","61001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 07","Richard  ","Burton","71001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 08","Richard  ","Burton","81001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 09","Richard  ","Burton","91001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 10","Richard  ","Burton","a1001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 11","Richard  ","Burton","b1001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 12","Richard  ","Burton","c1001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 13","Richard  ","Burton","d1001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 14","Richard  ","Burton","e1001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 15","Richard  ","Burton","f1001108.txt",,"Sep",2002,
"1001 Nights [Arabian Nights]","Vol 16","Richard  ","Burton","g1001108.txt",,"Sep",2002,
"20,000 Leagues Under the Sea",,"Jules","Verne","2000010.txt",,"Sep",1994,
"Adventures of Baron Munchausen, The",,"R. E.","Raspe","baron10.txt",,"Apr",2002,
"Adventures of Huckleberry Finn, The","Vol 1","Mark","Twain",,"hfin110h.html","Dec",2004,
"Adventures of Huckleberry Finn, The","Vol 2","Mark","Twain",,"hfin210h.html","Dec",2004,
"Adventures of Huckleberry Finn, The","Vol 3","Mark","Twain",,"hfin310h.html","Dec",2004,
"Adventures of Huckleberry Finn, The","Vol 4","Mark","Twain",,"hfin410h.html","Dec",2004,
